step,hour_of_day,traffic_congestion,total_vehicles,rerouted_vehicles,congested_roads,odd_even_active,green_wave_active,energy_usage,energy_supply,renewable_mw,non_renewable_mw,emissions_kg,blackout,total_waste_kg,collected_waste_kg,overflow_bins,aqi,high_pollution,severity,water_consumption_kl,water_demand_kl,water_deficit_kl,reservoir_level_pct,drainage_overflows,avg_drainage_load_pct,water_rationing_active,emergency_incidents,critical_incidents,avg_response_time_min,avg_hospital_occupancy,overloaded_hospitals
1,1,0.1824,1037,0,0,0,1,3.86,3.86,2.76,1.09,492.7,0,288.69,205.37,0,62.59,0,MODERATE,96.1,96.1,0.0,89.7,0,28.3,0,3,1,8.8,53.0,0
2,2,0.1999,1144,0,0,0,1,3.93,3.93,2.88,1.05,472.81,0,283.08,261.26,0,76.45,0,MODERATE,80.7,80.7,0.0,92.3,0,26.7,0,7,2,7.1,51.8,0
3,3,0.2083,1186,0,0,0,1,3.83,3.83,2.82,1.01,456.61,0,253.44,249.76,0,82.14,0,MODERATE,81.8,81.8,0.0,95.0,0,27.7,0,3,1,8.3,49.4,0
4,4,0.1836,1037,0,0,0,1,3.98,3.98,2.63,1.35,607.36,0,295.86,317.61,0,82.91,0,MODERATE,121.5,121.5,0.0,97.3,0,26.2,0,6,1,7.6,48.2,0
5,5,0.2007,1142,0,0,0,0,3.97,3.97,2.97,0.99,447.7,0,289.52,277.85,0,83.09,0,MODERATE,215.1,215.1,0.0,99.0,0,28.0,0,6,0,7.1,47.1,0
6,6,0.1899,1069,0,0,0,0,5.89,5.89,2.89,2.99,1347.07,0,299.17,265.06,0,96.9,0,MODERATE,358.0,358.0,0.0,99.7,0,29.4,0,6,0,11.1,46.0,0
7,7,0.2151,1222,0,0,1,1,8.48,8.48,4.35,4.12,1854.57,0,281.87,316.88,0,114.52,1,UNHEALTHY,537.2,537.2,0.0,99.1,0,27.3,0,5,1,8.5,44.6,0
8,8,0.0936,529,0,0,1,0,8.45,8.45,6.09,2.35,1058.99,0,302.29,287.49,0,88.63,0,MODERATE,666.3,666.3,0.0,97.6,0,29.0,0,5,0,6.6,43.2,0
9,9,0.095,541,0,0,1,0,12.27,12.25,8.1,4.16,1869.88,1,278.17,254.06,0,93.97,0,MODERATE,483.1,483.1,0.0,97.4,0,27.7,0,3,0,10.3,41.2,0
10,10,0.1049,597,0,0,0,0,9.65,9.65,8.05,1.61,723.65,0,254.95,336.87,0,77.43,0,MODERATE,436.1,436.1,0.0,97.5,0,28.1,0,5,0,8.9,40.6,0
11,11,0.2008,1143,0,0,0,1,9.65,9.65,8.93,0.72,323.81,0,282.52,251.31,0,79.09,0,MODERATE,391.6,391.6,0.0,98.0,0,26.8,0,7,1,7.7,40.3,0
12,12,0.1966,1115,0,0,0,0,9.51,9.51,9.51,0.0,0.0,0,279.2,232.23,0,73.34,0,MODERATE,377.6,377.6,0.0,98.5,0,24.6,0,5,0,7.4,39.2,0
